platform,org,repo,metric,timeKey,value,country,category,orgLabel
github,NixOS,nixpkgs,activity,2018-02,1752.28,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-03,1918.67,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-04,1748.34,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-05,1619.67,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-06,1679.68,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-07,1642.65,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-08,1757.66,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-09,1689.72,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-10,2092.68,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-11,1858,CH,os,NixOS
github,NixOS,nixpkgs,activity,2018-12,1718.72,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-01,1864.63,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-02,1945.76,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-03,2092.13,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-04,2077.93,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-05,2056.54,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-06,1778.38,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-07,2089.73,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-08,2370.6,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-09,2265.34,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-10,2580.24,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-11,2564.17,CH,os,NixOS
github,NixOS,nixpkgs,activity,2019-12,2280.53,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-01,2434.33,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-02,2507.19,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-03,2623.25,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-04,2875.72,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-05,2855.67,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-06,2943.36,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-07,2706.49,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-08,2642.16,CH,os,NixOS
github,NixOS,nixpkgs,activity,2020-09,2798.1,CH,os,NixOS
